"inimīcus inimīca inimīcum","unfriendly, hostile",3,Adjective
"intercēdō intercēdere intercessī intercessus","to go between, intervene, veto",3,Verb
"interclūdō interclūdere interclūsī interclūsus","to shut off, cut off, block",3,Verb
"Italia Italiae {f.}","Italy",3,Noun
"item","also, besides, likewise, in the same way",3,Adverb
"iūstus iūsta iūstum","just, right, fair",3,Adjective
"lacessō lacessere lacessīvī lacessītus","to provoke, harass, attack",3,Verb
"lātus lāta lātum","broad, wide",3,Adjective
"lēgātiō lēgātiōnis {f.}","embassy, legation",3,Noun
"līber lībera līberum","free",3,Adjective
"līberē līberius līberrimē","freely, more freely, most freely",3,Adverb
"licet licēre licuit {/} licitum est","it is permitted, it is allowed",3,Verb
"lingua linguae {f.}","tongue, language",3,Noun
"maiōrēs maiōrum {m. pl.}","ancestors, forefathers",3,Noun
"mālō mālle māluī","to prefer",3,Verb
"medius media medium","middle, central",3,Adjective
"mercātor mercātōris {m.}","merchant, trader",3,Noun
"mercēs mercēdis {f.}","pay, reward, price",3,Noun
"metus metūs {m.}","fear, dread, anxiety",3,Noun
"minuō minuere minuī minūtus","to lessen, diminish, reduce",3,Verb
"misericordia misericordiae {f.}","pity, mercy, compassion",3,Noun
"moveō movēre mōvī mōtus","to move, stir, affect",3,Verb
"necō necāre necāvī necātus","to kill, slay",3,Verb
"neglegō neglegere neglēxī neglēctus","to neglect, disregard",3,Verb
"negō negāre negāvī negātus","to deny, say no",3,Verb
"negōtium negōtiī {n.}","business, task, trouble",3,Noun
"neu {or} nēve","and not, nor",3,Conjunction
"nōbilis nōbile","noble, well-known, high-born",3,Adjective
"nōbilitās nōbilitātis {f.}","nobility, the nobles",3,Noun
"noceō nocēre nocuī nocitus","to harm, injure (+ dative)",3,Verb
"nōlō nōlle nōluī","to be unwilling, not to want",3,Verb
"nōndum","not yet",3,Adverb
"nōnnūllus nōnnūlla nōnnūllum","some, several",3,Adjective
"ō","O!, Oh!",3,Interjection
"opīnor opīnārī opīnātus sum","to suppose, think, believe",3,Verb
"oportet oportēre oportuit","it is proper, it is necessary, one ought",3,Verb
"opus operis {n.}","work, task, fortification",3,Noun
Latin Word,English Definition(s),Frequency,Part of Speech
"ōs ōris {n.}","mouth, face, expression",3,Noun
"pācō pācāre pācāvī pācātus","to pacify, subdue",3,Verb
"pār paris","equal, like",3,Adjective
"paulō","by a little, slightly",3,Adverb
"perveniō pervenīre pervēnī perventus","to arrive at, reach",3,Verb
"pēs pedis {m.}","foot",3,Noun
"Philippus Philippī {m.}","Philip",3,Noun
"Pīsō Pīsōnis {m.}","Piso (a Roman name)",3,Noun
"plērusque plēraque plērumque","most, the majority of",3,Adjective
"polliceor pollicērī pollicitus sum","to promise",3,Verb
"potēns potentis","powerful, able",3,Adjective
"praesidium praesidiī {n.}","guard, protection, garrison",3,Noun
"praetor praetōris {m.}","praetor (a Roman magistrate)",3,Noun
"prīnceps prīncipis","chief, leading man; prince",3,Noun
"prīncipium prīncipiī {n.}","beginning, origin",3,Noun
"priusquam {or} prius quam","before",3,Conjunction
"procreō procreāre procreāvī procreātum","to beget, produce, create",3,Verb
"profectō","surely, certainly, indeed",3,Adverb
"prōvideō prōvidēre prōvīdī prōvīsus","to foresee, provide for",3,Verb
"prōvocō prōvocāre prōvocāvī prōvocātus","to call forth, challenge, appeal",3,Verb
"pūblicānus pūblicānī {m.}","publican, tax collector",3,Noun
"puer puerī {m.}","boy",3,Noun
"pugnō pugnāre pugnāvī pugnātum","to fight",3,Verb
"quā","where, by which way",3,Adverb
"quaestiō quaestiōnis {f.} ({rarely} quaesitiō)","question, investigation, inquiry",3,Noun
"quārē","why, for what reason",3,Adverb
"quīnque {;} quīntus quīnta quīntum","five; fifth",3,Numeral
"Quīntus Quīntī {m.}","Quintus (a Roman name)",3,Noun
"quisquis quidquid {or} quicquid","whoever, whatever",3,Pronoun
"quot","how many, as many as",3,Adjective
"recordor recordārī recordātus sum","to remember, recollect",3,Verb
"respondeō respondēre respondī respōnsus","to answer, respond",3,Verb
"Rōma Rōmae {f.}","Rome",3,Noun
"Rōmulus Rōmulī {m.}","Romulus",3,Noun
"salvus salva salvum","safe, sound, unharmed",3,Adjective
"scelus sceleris {n.}","crime, wickedness",3,Noun
"secundus secunda secundum","second, following; favorable",3,Adjective
"sēnsus sēnsūs {m.}","feeling, sense, perception",3,Noun
"septem {;} septimus septima septimum","seven; seventh",3,Numeral
"septentriōnēs septentriōnum {m. pl.}","the north",3,Noun
"sermō sermōnis {m.}","conversation, speech, discourse",3,Noun
"servō servāre servāvī servātus","to save, preserve, keep",3,Verb
"signum signī {n.}","sign, signal, standard",3,Noun
"similis simile","similar, like (+ genitive or dative)",3,Adjective
"socius socia socium","allied, sharing; (as a noun) ally, comrade",3,Adjective
"spectō spectāre spectāvī spectātus","look at, watch, face",3,Verb
"statuō statuere statuī statūtus","to set up, establish, decide",3,Verb
"studeō studēre studuī","to be eager for, study, support (+ dative)",3,Verb
"superbus superba superbum","proud, arrogant, haughty",3,Adjective
"supplicium suppliciī {n.}","punishment, torture, execution",3,Noun
"suscipiō suscipere suscēpī susceptus","to undertake, take up",3,Verb
"tandem","at last, finally",3,Adverb
"temperō temperāre temperāvī temperātus","to restrain, control, moderate",3,Verb
"timeō timēre timuī","to fear, be afraid of",3,Verb
"tot","so many",3,Adjective
"trāns","across (+ accusative)",3,Preposition
"trēs tria","three",3,Numeral
"tribūnicius tribūnicia tribūnicium","of a tribune, tribunician",3,Adjective
"tribuō tribuere tribuī tribūtus","to assign, grant, attribute",3,Verb
"ultrō","voluntarily, beyond, on the other side",3,Adverb
"umquam","ever",3,Adverb
"undique","from all directions, on all sides",3,Adverb
"Vārus Vārī {m.}","Varus (a Roman name)",3,Noun
"-ve","or (enclitic)",3,Conjunction
"vindicō vindicāre vindicāvī vindicātus","to claim, avenge, punish",3,Verb
"vitium vitiī {n.}","fault, vice, crime",3,Noun
"vix","scarcely, hardly, with difficulty",3,Adverb
"vorāx vorācis {m.}","glutton, devourer",3,Noun
"acerbus acerba acerbum","bitter, harsh, cruel",2,Adjective
"addō addere addidī additus","to add, join",2,Verb
"adhibeō adhibēre adhibuī adhibitus","to apply, use, employ",2,Verb
"adimō adimere adēmī adēmptus","to take away, remove",2,Verb
"adipīscor adipīscī adeptus sum","to obtain, acquire, get",2,Verb
"aditus aditūs {m.}","approach, access, entrance",2,Noun
"admittō admittere admīsī admissus","to admit, let in, allow",2,Verb
"adulēscēns adulēscentis","young; (as a noun) young man, youth",2,Adjective
"aeger aegra aegrum","sick, ill, weary",2,Adjective
"aequor aequoris {n.}","sea, level surface, plain",2,Noun
"aequus aequa aequum","equal, fair, calm",2,Adjective
"āleō āleōnis {m.}","gambler, dice-player",2,Noun
"aliquandō","at some time, sometimes, finally",2,Adverb
"angō angere ānxī ānctus ({or} ānxus)","to choke, torment, distress",2,Verb
"angustus angusta angustum","narrow, confined, difficult",2,Adjective
"animal animālis {n.}","animal, living being",2,Noun
"animāns animantis","living, animate; (as a noun) living creature",2,Adjective
"anquīrō anquīrere anquīsīvī anquīsītum","to seek for, investigate, inquire into",2,Verb
"Aprīlis Aprīle","of April",2,Adjective
"Aquītānus Aquītāna Aquītānum","Aquitanian, of Aquitania",2,Adjective
"arcessō (accersō) arcessere arcessīvī arcessītus","to summon, send for",2,Verb
"arrogantia arrogantiae {f.}","arrogance, pride, presumption",2,Noun
"Asiānus (Asiāticus) Asiāna Asiānum","Asian, Asiatic",2,Adjective
"auctor auctōris {m.}","author, creator, originator",2,Noun
"audācia audāciae {f.}","boldness, daring, audacity",2,Noun
"auspicium auspiciī {n.}","augury, omen, auspices",2,Noun
"barbarus barbara barbarum","barbarian, foreign, uncivilized",2,Adjective
"beātus beāta beātum","happy, blessed, fortunate",2,Adjective
"bellicus bellica bellicum","of war, warlike, military",2,Adjective
"bīduum bīduī {n.}","a period of two days",2,Noun
"Britannia Britanniae {f.}","Britain",2,Noun
"carrus carrī {m. or} carrum carrī {n.}","cart, wagon",2,Noun
"castus casta castum","pure, chaste, virtuous",2,Adjective
"Catō Catōnis {m.}","Cato (a Roman name)",2,Noun
"Catullus Catullī {m.}","Catullus (a Roman poet)",2,Noun
"caveō cavēre cāvī cautus","to beware, be cautious, guard against",2,Verb
"cēnseō cēnsēre cēnsuī cēnsus","to think, believe, assess",2,Verb
"centum {;} centēsimus centēsima centēsimum","a hundred; hundredth",2,Numeral
"cernō cernere crēvī crētus","to discern, perceive, decide",2,Verb
"cinaedus cinaeda cinaedum","lewd, unchaste, effeminate",2,Adjective
"cinaedus cinaedī {m.}","an unchaste person, a pervert",2,Noun
"citō citius {(comp.)} citissimē {(superl.)}","quickly, faster, fastest",2,Adverb
"classis classis {f.}","fleet, class, army",2,Noun
"coepī coepisse coeptum","to have begun",2,Verb
"cognitiō cognitiōnis {f.}","knowledge, acquaintance, investigation",2,Noun
"collocō collocāre collocāvī collocātus","to place, arrange, station",2,Verb
"comes comitis {m. or f.}","comrade, companion",2,Noun
"commendātiō commendātiōnis {f.}","recommendation, commendation",2,Noun
"commoveō commovēre commōvī commōtus","to move, disturb, alarm",2,Verb
"complector complectī complexus sum","to embrace, surround, include",2,Verb
"concidō concidere concidī","to fall down, collapse, perish",2,Verb
"condūcō condūcere condūxī conductus","to lead together, hire, be profitable",2,Verb
"coniciō conicere coniēcī coniectus","to hurl, throw, guess",2,Verb
"coniūnctiō coniūnctiōnis {f.}","union, connection, conjunction",2,Noun
"conlaudō (collaudō) conlaudāre conlaudāvī conlaudātus","to praise highly",2,Verb
"cōnsīderō cōnsīderāre cōnsīderāvī cōnsīderātus","to consider, reflect upon",2,Verb
"cōnsistō cōnsistere cōnstitī cōnstitus","to stand, stop, take a position",2,Verb
"cōnstantia cōnstantiae {f.}","steadfastness, constancy, firmness",2,Noun
"cōnsulāris cōnsulāris cōnsulāre","consular, of a consul",2,Adjective
"cōnsulātus cōnsulātūs {m.}","consulship",2,Noun
"cōnsultō cōnsultāre cōnsultāvī cōnsultātus","to consult, deliberate",2,Verb
"contendō contendere contendī contentum","to strive, struggle, hasten",2,Verb
"contentus contenta contentum","satisfied, content",2,Adjective
"contineō continēre continuī contentus","to hold together, contain, restrain",2,Verb
"contingō contingere contigī contāctus","to touch, happen, befall",2,Verb
"cōntiōnor cōntiōnārī cōntiōnātus sum","to address an assembly, make a speech",2,Verb
"contrōversia contrōversiae {f.}","controversy, dispute",2,Noun
"convīcium convīciī {n.}","insult, abuse, clamor",2,Noun
"cōpiōsus cōpiōsa cōpiōsum","abundant, wealthy, well-supplied",2,Adjective
"corpus corporis {n.}","body",2,Noun
"Crastinus Crastinī {m.}","Crastinus (a centurion in Caesar's army)",2,Noun
"crēber crēbra crēbrum","frequent, numerous, crowded",2,Adjective
"crūdēliter","cruelly",2,Adverb
"cultus cultūs {m.}","cultivation; culture, civilization",2,Noun
"cūnctus cūncta cūnctum","all, the whole, entire",2,Adjective
"cupiditās cupiditātis {f.}","desire, eagerness, greed",2,Noun
"dēcoquō dēcoquere dēcoxī dēcoctum","to boil down; to become bankrupt",2,Verb
"dēfēnsiō dēfēnsiōnis {f.}","defense",2,Noun
"dēprecor dēprecārī dēprecātus sum","to beg, plead, pray to avert",2,Verb
"dēscendō dēscendere dēscendī dēscēnsus","to descend, go down",2,Verb
"dēsum deesse dēfuī","to be lacking, be absent, fail",2,Verb
"dictum dictī {n.}","word, saying, command",2,Noun
"difficilis difficile","difficult, hard",2,Adjective
"dīgnus dīgna dīgnum","worthy, deserving of (+ ablative)",2,Adjective
"dīligēns dīligentis","careful, diligent, attentive",2,Adjective
"discēdō discēdere discessī discessum","to depart, go away",2,Verb
"dispōnō dispōnere disposuī dispositus","to arrange, distribute, set in order",2,Verb
"disputātiō disputātiōnis {f.}","dispute, argument, debate",2,Noun
"dissolvō dissolvere dissolvī dissolūtus","to break up, dissolve, destroy",2,Verb
"diū","for a long time",2,Adverb
"dīvīsiō dīvīsiōnis {f.}","division, separation",2,Noun
"Dolābella Dolābellae {m.}","Dolabella (a Roman name)",2,Noun
"domesticus domestica domesticum","of the home, domestic, private",2,Adjective
"dominātus dominātūs {m.}","rule, tyranny, domination",2,Noun
"dominus dominī {m.}","master, lord",2,Noun
"Domitius Domitiī {m.}","Domitius (a Roman name)",2,Noun
"ducentī ducentae ducenta {;} ducentēsimus ducentēsima ducentēsimum","two hundred; two hundredth",2,Numeral
"efferō efferre extulī ēlātus","to carry out, bring forth, raise",2,Verb
"efficiō efficere effēcī effectus ({rarely} efficātus)","to bring about, cause, accomplish",2,Verb
"eques equitis {m.}","horseman, knight; (pl.) cavalry",2,Noun
"equitātus equitātūs {m.}","cavalry",2,Noun
"etsī","even if, although",2,Conjunction
"exerceō exercēre exercuī exercitus","to train, exercise, practice",2,Verb
"exitus exitūs {m.}","exit, end, outcome",2,Noun
"expleō explēre explēvī explētus","to fill up, complete",2,Verb
"explōrō explōrāre explōrāvī explōrātus","to explore, investigate, search out",2,Verb
"falsus falsa falsum","false, untrue, deceptive",2,Adjective
"fās {n. indecl.}","divine law, right, what is proper",2,Noun
"Faustus Faustī {m.}","Faustus (a Roman name)",2,Noun
"fēlīciter fēlīcius fēlīcissimē","luckily, successfully",2,Adverb
"fīrmāmentum fīrmāmentī {n.}","support, strength, prop",2,Noun
"flōs flōris {m.}","flower, blossom",2,Noun
"frāter frātris {m.}","brother",2,Noun
"frūmentārius frūmentāria frūmentārium","of grain, relating to the grain supply",2,Adjective
"Gabīnius Gabīniī {m.}","Gabinius (a Roman name)",2,Noun
"gener generī {m.}","son-in-law",2,Noun
"Graecia Graeciae {f.}","Greece",2,Noun
"graviter","heavily, seriously, severely",2,Adverb
"Hibērus Hibērī {m.}","a Spaniard; the Ebro river",2,Noun
"honestum honestī {n.}","honorable conduct, virtue, integrity",2,Noun
"honor {or} honōs honōris {m.}","honor, esteem, public office",2,Noun
"iam prīdem {or} iamprīdem","long ago, for a long time now",2,Adverb
"Iānuārius Iānuāria Iānuārium","of January",2,Adjective
"īdūs īduum {f. pl.}","the Ides (13th or 15th of the month)",2,Noun
"imminuō imminuere imminuī imminūtum","to lessen, diminish, weaken",2,Verb
"impellō impellere impulī impulsus","to drive on, urge, impel",2,Verb
"impetrō impetrāre impetrāvī impetrātus","to obtain by request, accomplish",2,Verb
"impetus impetūs {m.}","attack, assault, impulse",2,Noun
"impius impia impium","impious, wicked, disloyal",2,Adjective
"impōnō impōnere imposuī impositus","to place upon, impose, inflict",2,Verb
"imprīmīs {or} in prīmīs","especially, in the first place",2,Adverb
"improbus improba improbum","wicked, dishonest, shameless",2,Adjective
"impudīcus impudīca impudīcum","unchaste, shameless, lewd",2,Adjective
"impulsus impulsūs {m.}","impulse, instigation, pressure",2,Noun
"incendium incendiī {n.}","fire, conflagration",2,Noun
"incendō incendere incendī incēnsus","to set on fire, burn, inflame",2,Verb
"incolumis incolumis incolume","unharmed, safe, intact",2,Adjective
"īnferō īnferre intulī illātus ({or} inlātus)","to bring in, introduce; make war on",2,Verb
"īnferus īnfera īnferum","low, below, underneath",2,Adjective
"īnfōrmō īnfōrmāre īnfōrmāvī īnfōrmātus","to shape, form, instruct",2,Verb
"inimīcitia inimīcitiae {f.}","enmity, hostility",2,Noun
"īnstitūtiō īnstitūtiōnis {f.}","institution, arrangement, instruction",2,Noun
"īnstitūtum īnstitūtī {n.}","custom, institution, practice",2,Noun
"integer integra integrum","untouched, whole, complete",2,Adjective
"invītus invīta invītum","unwilling, reluctant",2,Adjective
"īrācundia īrācundiae {f.}","anger, wrath, irritability",2,Noun
"Iūra Iūrae {m.}","the Jura mountains",2,Noun
"iuvō iuvāre iūvī iūtus","to help, aid, please",2,Verb
"Kalendae Kalendārum {f. pl.}","the Kalends (1st of the month)",2,Noun
"labōrō labōrāre labōrāvī labōrātum","to work, labor, suffer",2,Verb
"laetitia laetitiae {f.}","joy, happiness, gladness",2,Noun
"largītiō largītiōnis {f.}","bribery, generosity, largesse",2,Noun
"Latīnus (Lātius) Latīna Latīnum","Latin, of Latium",2,Adjective
"laudō laudāre laudāvī laudātus","to praise",2,Verb
"lēnis lēne","gentle, mild, smooth",2,Adjective
"lēnitās lēnitātis {f.}","gentleness, mildness, smoothness",2,Noun
"liber librī {m.}","book",2,Noun
"līberālitās līberālitātis {f.}","generosity, kindness, liberality",2,Noun
"līberī līberōrum {m. pl.}","children",2,Noun
"līberō līberāre līberāvī līberātus","to free, set free",2,Verb
"libīdō libīdinis {f.}","desire, lust, passion",2,Noun
"Lupercālia Lupercālium {/} Lupercāliōrum {n. pl.}","the Lupercalia (a Roman festival)",2,Noun
"lūx lūcis {f.}","light, daylight",2,Noun
"maledictum maledictī {n.}","curse, slander, abusive word",2,Noun
"maleficium maleficiī {n.}","wrongdoing, crime, evil deed",2,Noun
"malus mala malum","bad, evil, wicked",2,Adjective
"Māmurra Māmurrae {m.}","Mamurra (an officer of Caesar)",2,Noun
"mānsuētūdō mānsuētūdinis {f.}","gentleness, clemency, mildness",2,Noun
"mātrimōnium mātrimōniī {n.}","marriage",2,Noun
"meminī meminisse","to remember, recollect",2,Verb
"mēns mentis {f.}","mind, reason, intellect",2,Noun
"mēnsis mēnsis {m.}","month",2,Noun
"mīlitāris mīlitāris mīlitāre","military, of a soldier",2,Adjective
"Mithridātēs Mithridātis {m.}","Mithridates (a king of Pontus)",2,Noun
"morior morī mortuus sum","to die",2,Verb
"mors mortis {f.}","death",2,Noun
"mōs mōris {m.}","custom, habit, manner; (pl.) character",2,Noun
"necessārius necessāriī {m.}","relative, kinsman, client",2,Noun
"necesse","necessary, unavoidable",2,"Adjective (indecl.)"
"nepōs nepōtis {m.}","grandson, nephew, descendant",2,Noun
"novem {;} nōnus nōna nōnum","nine; ninth",2,Numeral
Latin Word,English Definition(s),Frequency,Part of Speech
"novus nova novum","new, strange, recent",2,Adjective
"num","(introduces a question expecting a 'no' answer); whether",2,Particle
"nūper","recently",2,Adverb
"ob","on account of, because of, before (+ accusative)",2,Preposition
"obveniō obvenīre obvēnī obventum","to meet, fall to the lot of",2,Verb
"occīdō occīdere occīdī occīsum","to kill, cut down, slay",2,Verb
"ōceanus ōceanī {m.}","the ocean",2,Noun
"octōgintā {;} octōgēsimus octōgēsima octōgēsimum","eighty; eightieth",2,Numeral
"oculus oculī {m.}","eye",2,Noun
"offerō offerre obtulī oblātus","to offer, present, bring before",2,Verb
"opera operae {f.}","work, effort, attention",2,Noun
"opportūnitās opportūnitātis {f.}","opportunity, favorable moment",2,Noun
"opprimō opprimere oppressī oppressus","to overwhelm, crush, suppress",2,Verb
"oppugnō oppugnāre oppugnāvī oppugnātus","to attack, assault, besiege",2,Verb
"ops opis {f.}","power, help, resources",2,Noun
"ōrātor ōrātōris {m.}","orator, speaker",2,Noun
"ōrdior ōrdīrī ōrsus sum","to begin, start",2,Verb
"orior orīrī ortus sum","to rise, arise, begin",2,Verb
"ostendō ostendere ostendī","to show, point out, display",2,Verb
"ōtium ōtiī {n.}","leisure, peace, quiet",2,Noun
"Panaetius Panaetiī {m.}","Panaetius (a Stoic philosopher)",2,Noun
"parēns parentis {m. or f.}","parent",2,Noun
"partior partīrī partītus sum","to share, divide, distribute",2,Verb
"passus passūs {m.}","pace, step",2,Noun
"pateō patēre patuī","to be open, be exposed, extend",2,Verb
"paulum {or} paululum","a little, somewhat",2,Adverb
"persevērō persevērāre persevērāvī persevērātus","to persevere, persist",2,Verb
"perdō perdere perdidī perditus","to destroy, ruin, lose",2,Verb
"perfacilis perfacile","very easy",2,Adjective
"perficiō perficere perfēcī perfectus","to complete, accomplish, finish",2,Verb
"Peripatēticus Peripatētica Peripatēticum","Peripatetic (a follower of Aristotle)",2,Adjective
"permoveō permovēre permōvī permōtus","to move deeply, arouse, influence",2,Verb
"perniciōsus perniciōsa perniciōsum","destructive, ruinous, dangerous",2,Adjective
"perscrībō perscrībere perscrīpsī perscrīptum","to write out in full, report",2,Verb
"perterreō perterrēre perterruī perterritus","to frighten thoroughly, terrify",2,Verb
"perturbō perturbāre perturbāvī perturbātus","to disturb greatly, throw into confusion",2,Verb
"pietās pietātis {f.}","piety, devotion, sense of duty",2,Noun
"Platō Platōnis {m.}","Plato (a Greek philosopher)",2,Noun
"poena poenae {f.}","punishment, penalty",2,Noun
"poēta poētae {m.}","poet",2,Noun
"pōns pontis {m.}","bridge",2,Noun
"portus portūs {m.}","harbor, port",2,Noun
"posterus postera posterum","following, next, future",2,Adjective
"potentia potentiae {f.}","power, ability, influence",2,Noun
"potior potīrī potītus sum","to get possession of, acquire (+ ablative or genitive)",2,Verb
"praecipiō praecipere praecēpī praeceptus","to instruct, order, advise",2,Verb
"praeclārus praeclāra praeclārum","very clear, excellent, distinguished",2,Adjective
"praeditus praedita praeditum","endowed with, possessed of",2,Adjective
"praemium praemiī {n.}","reward, prize",2,Noun
"praestāns praestantis","outstanding, excellent, superior",2,Adjective
"praestō praestāre praestitī praestitus","to stand before, excel; show, provide",2,Verb
"praeter","beyond, except, besides (+ accusative)",2,Preposition
"praetereā","besides, moreover, furthermore",2,Adverb
"praetermittō praetermittere praetermīsī praetermissum","to let pass, overlook, omit",2,Verb
"praetōrius praetōria praetōrium","of a praetor, praetorian",2,Adjective
"prīncipātus prīncipātūs {m.}","principate, leadership, first place",2,Noun
"profectiō profectiōnis {f.}","departure, setting out",2,Noun
"prōficiō prōficere prōfēcī prōfectum","to make progress, advance, accomplish",2,Verb
"prōiciō prōicere prōiēcī prōiectum","to throw forward, cast away, abandon",2,Verb
"prōnūntiō prōnūntiāre prōnūntiāvī prōnūntiātus","to announce, proclaim, declare",2,Verb
"pugna pugnae {f.}","fight, battle",2,Noun
"pulcher pulchra pulchrum","beautiful, handsome, fine",2,Adjective
"pulchrē pulchrius pulcherrimē","beautifully, finely",2,Adverb
"pulchritūdō pulchritūdinis {f.}","beauty",2,Noun
"quaesō quaesere","to seek, ask, beg",2,Verb
"quaestūra quaestūrae {f.}","quaestorship (a Roman magistracy)",2,Noun
"quam ob rem","for which reason, why",2,Adverb
"quamdiū {or} quam diū","how long, as long as",2,Adverb
"quīcumque quaecumque quodcumque","whoever, whatever",2,Pronoun
"quisnam (quīnam) quaenam quidnam","who/what in the world?",2,Pronoun
"quoad","as long as, until",2,Conjunction
"quotiēns {or} quotiēs","how often, as often as",2,Adverb
"recipiō recipere recēpī receptus","to take back, receive, accept",2,Verb
"redeō redīre rediī reditum","to go back, return",2,Verb
"redimō redimere redēmī redēmptum","to buy back, redeem, ransom",2,Verb
"refugiō refugere refūgī","to flee back, retreat, escape",2,Verb
"religiō religiōnis {f.}","religion, religious observance, superstition",2,Noun
"reperiō reperīre repperī repertus","to find, discover",2,Verb
"respiciō respicere respexī respectum","to look back at, consider, have regard for",2,Verb
"rogō rogāre rogāvī rogātus","to ask, ask for",2,Verb
"scientia scientiae {f.}","knowledge, science",2,Noun
"sēcessiō sēcessiōnis {f.}","secession, withdrawal",2,Noun
"sedeō sedēre sēdī sessus","to sit",2,Verb
"sella sellae {f.}","seat, chair",2,Noun
"serviō servīre servīvī servītus","to be a slave to, serve (+ dative)",2,Verb
"sex {;} sextus sexta sextum","six; sixth",2,Numeral
"similitūdō similitūdinis {f.}","likeness, similarity, resemblance",2,Noun
"sīn","but if, if however",2,Conjunction
"singulāris singulāris singulāre","single, remarkable, extraordinary",2,Adjective
"societās societātis {f.}","alliance, partnership, society",2,Noun
"sōl sōlis {m.}","sun",2,Noun
"sors sortis {f.}","lot, fate, destiny",2,Noun
"spōns spontis {f.}","of one's own accord, voluntarily",2,Noun
"Spurius Spuriī {m.}","Spurius (a Roman name)",2,Noun
"stabilis stabile","stable, firm, steady",2,Adjective
"statiō statiōnis {f.}","post, station, position",2,Noun
"Stōicus Stōica Stōicum","Stoic",2,Adjective
"studiōsus studiōsa studiōsum","eager, zealous, studious",2,Adjective
"subeō subīre subīvī {/} subiī subitus","to go under, undergo, approach",2,Verb
"summus summa summum","the highest",2,Adjective
"sūmō sūmere sūmpsī sūmptus","to take, take up, assume",2,Verb
"suspīciō suspiciōnis {f.}","suspicion, mistrust",2,Noun
"Syria Syriae {f.}","Syria",2,Noun
"tacitus tacita tacitum","silent, quiet",2,Adjective
"tentō tentāre tentāvī tentātus","to try, attempt, test",2,Verb
"terror terrōris {m.}","terror, fear, dread",2,Noun
"toga togae {f.}","toga",2,Noun
"tractō tractāre tractāvī tractātus","to handle, treat, manage",2,Verb
"trānseō trānsīre trānsīvī {/} trānsiī trānsitus","to go across, cross over",2,Verb
"trānsferō trānsferre trānstulī trānslātus","to carry over, transfer",2,Verb
"tribūnātus tribūnātūs {m.}","tribuneship",2,Noun
"triplex triplicis","threefold, triple",2,Adjective
"turpitūdō turpitūdinis {f.}","ugliness, shame, disgrace",2,Noun
"ūnā","together, at the same time",2,Adverb
"ūnctus ūncta ūnctum","oily, greasy, anointed",2,Adjective
"ūniversus ūniversa ūniversum","all together, whole, entire",2,Adjective
"urbānus urbāna urbānum","of the city, urban, refined",2,Adjective
"ūsus ūsūs {m.}","use, experience, practice",2,Noun
"uter utra utrum","which (of two)?",2,Pronoun
"utrum","whether",2,Adverb
"valeō valēre valuī valitus","to be strong, be well, prevail",2,Verb
"vallum vallī {n.}","wall, rampart, palisade",2,Noun
"varietās varietātis {f.}","variety, diversity, difference",2,Noun
"vehementer","violently, strongly, vehemently",2,Adverb
"vērē","truly, really, in truth",2,Adverb
"versor versārī versātus sum","to be engaged in, be involved in, live",2,Verb
"vērum vērī {n.}","truth, reality, fact",2,Noun
"vīcus vīcī {m.}","village, street",2,Noun
"vīgintī {;} vīcēsimus vīcēsima vīcēsimum","twenty; twentieth",2,Numeral
"vinculum vinculī {n.}","chain, bond, fetter",2,Noun
"vulnus vulneris {n.}","wound",2,Noun
"abhorreō abhorrēre abhorruī","to shrink from, abhor, be inconsistent with",1,Verb
"absēns absentis","absent, away",1,Adjective
"abundāns abundantis","abundant, overflowing, rich",1,Adjective
"abundō abundāre abundāvī abundātus","to abound, be rich in, overflow with",1,Verb
"Acadēmicus Acadēmica Acadēmicum","Academic (of Plato's Academy)",1,Adjective
"acceptus accepta acceptum","welcome, acceptable, pleasing",1,Adjective
"accommodō accommodāre accommodāvī accommodātus","to adapt, fit, adjust",1,Verb
"accūrātus accūrāta accūrātum","accurate, exact, careful",1,Adjective
"āctiō āctiōnis {f.}","action, deed, lawsuit",1,Noun
"āctum āctī {n.}","act, deed, transaction",1,Noun
"addiscō addiscere addidicī","to learn in addition",1,Verb
"adeō","to such a degree, so",1,Adverb
"adeō adīre adīvī {/} adiī aditus","to go to, approach",1,Verb
"adfīnitās adfīnitātis {f.}","relationship by marriage, connection",1,Noun
"adhortor adhortārī adhortātus sum","to encourage, exhort",1,Verb
"adhūc","still, up to this time, as yet",1,Adverb
"adiūmentum adiūmentī {n.}","help, aid, assistance",1,Noun
"adiūtor adiūtōris {m.}","helper, assistant",1,Noun
"administrō administrāre administrāvī administrātus","to manage, administer, direct",1,Verb
"admīrābilis admīrābile","admirable, wonderful",1,Adjective
"admodum","very, completely, quite",1,Adverb
"adnectō (annectō) adnectere adnexuī adnexum","to tie to, connect, annex",1,Verb
"Adōneus Adōneī {m.}","Adonis",1,Noun
"adscīscō adscīscere adscīvī adscītus","to adopt, admit, receive",1,Verb
"adūlātiō adūlātiōnis {f.}","flattery, adulation",1,Noun
"adulter adulterī {m.}","adulterer",1,Noun
"adversus adversa adversum","opposite, facing, contrary",1,Adjective
"adversus {or} adversum {+ acc.}","against, opposite to",1,Preposition
"advolō advolāre advolāvī advolātus","to fly to, hasten to",1,Verb
"aedificium aedificiī {n.}","building, structure",1,Noun
"Aeduus Aedua Aeduum","Aeduan, of the Aedui (a Gallic tribe)",1,Adjective
